Query,Title,Browser,OS,Customer_Type,Issue,Resolution
the dark mode setting resets every time I log in. I’ve tried clearing cookies but no luck. I'm on Firefox on Linux.,Dark mode resets on login,Firefox,Linux,Individual,Dark mode resets after login,Check if system-wide dark mode settings are overriding Firefox's theme and disable any browser extensions that may affect the theme
our invoices are showing incorrect tax calculations for European customers. VAT isn't being added.,Incorrect VAT calculation in invoices for European customers,,,Individual,VAT not being added to invoices for European customers,Check and update tax settings to include VAT for European customers
I'm trying to upgrade our subscription but the payment form keeps timing out. I've tried multiple cards. Using Chrome on Windows 10.,Subscription upgrade payment form timeout,Chrome (version not specified),Windows 10,Individual,Payment form timeouts during subscription upgrade,Clear browser cache and cookies
we’re seeing delays in real-time notifications—up to 10 minutes sometimes. This impacts our workflow significantly. Any updates? – Operations Team,Delays in real-time notifications,,,Individual,Delays in real-time notifications,Check system logs for real-time notification delays or contact support for further details
when we export our dashboard to PDF,PDF export issue: charts missing or cut off,,,Individual,Charts missing or cut off during PDF export,Check PDF export settings and ensure that charts are included in the export. Try exporting in a different PDF viewer to see if the issue persists.
I’m using the CLI tool and suddenly getting an 'Authentication failed' message. Token hasn’t changed. What should I do? – Greg,Authentication failed with unchanged token in CLI tool,,,Individual,Authentication failure with unchanged token in CLI tool,Check if the token is expired or invalid. Try re-authenticating or clearing cached credentials. Verify server-side authentication settings.
attachments aren't downloading properly in Safari—they appear as .txt instead of PDFs. This is only happening for some users.,Attachments not downloading correctly in Safari,Safari,,Individual,Attachments are displayed as .txt instead of PDFs in Safari.,Check Safari's download settings to ensure PDFs are allowed and try clearing the cache.
every time I try to reset my password,Password reset token expired error,,,Individual,Password reset token expired error,Check if the password reset link was clicked immediately and ensure the token is valid. If the issue persists
we recently switched to SAML authentication,SAML Authentication Issue: New Users Getting 'Invalid Assertion' Errors,,,Enterprise,New users are encountering 'invalid assertion' errors after switching to SAML authentication,Verify SAML configuration
the drag-and-drop upload feature doesn’t work in Firefox but works in Chrome. It just opens the file instead of uploading. Any workaround? – Daniel,Drag-and-Drop Upload Issue in Firefox,Firefox,,Developer,Drag-and-drop upload feature fails in Firefox,Try clearing browser cache and cookies in Firefox. If issue persists
we can’t delete old projects—clicking delete does nothing. No error message either. Using Edge on Windows,Project deletion fails in Edge on Windows,Edge,Windows,Individual,Project deletion fails when clicking delete button,Clear browser cache and try again
I'm getting logged out randomly while working. It’s disrupting my work. Session timeout setting? – Omar,Random login logout due to session timeout,,,Individual,Random login logout due to session timeout,Check and adjust the session timeout settings in your account or system configuration
the app is stuck on a loading spinner after login. Happens on Android 13. Works fine on iOS. Any updates? – Beta Tester,App loading spinner stuck after login on Android 13,Android 13,Android,Beta Tester,App is stuck on loading spinner after login on Android 13,Check for app updates and ensure the device is running the latest Android OS version
Our webhook endpoint isn’t receiving payloads. Nothing in our logs. Can you check if they’re being sent from your side? Thanks,Webhook endpoint not receiving payloads,,,Individual,Webhook endpoint not receiving payloads,Verify webhook URL configuration and check server logs on the other side for payload transmission details
scheduled reports aren't being sent via email. They show as 'Delivered' in the UI but never arrive.,Scheduled reports not arriving via email despite marked as delivered,,,Individual,Scheduled reports not arriving via email despite marked as delivered,Check email server settings and verify that the report delivery configuration is correct
I just tried uploading a logo in our profile settings and received 'Unsupported file format'—but it's a PNG.,Logo upload fails with 'Unsupported file format' error,,,Individual,Logo upload fails with 'Unsupported file format' error,Check if the server settings allow PNG file uploads and ensure the file is correctly formatted.
Users are unable to sign documents via e-signature—clicking 'Sign' does nothing. This is blocking contract completion. – L Dept,E-signature signing fails for legal documents,,,Individual,E-signature signing fails for legal documents,Verify e-signature settings and ensure the document is correctly formatted for signing
auto-save is not working in the editor anymore. We’ve lost work due to this. Using Chrome on Windows 10.,Auto-save functionality not working in editor causing data loss,Chrome,Windows 10,Individual,Auto-save is not working in the editor anymore. We’ve lost work due to this.,Clear browser cache and cookies
we're seeing duplicated records after importing contacts. Can you prevent duplicates based on email ID? – CRM Admin,Duplicate records during contact import based on email ID,,,Individual,Duplicate records after importing contacts based on email ID,Configure the import settings to check for existing email IDs and prevent duplicates
the analytics widget isn’t updating in real-time—it shows data from yesterday only. Any known issue?,Analytics widget not updating in real-time,,,Individual,Analytics widget shows data from yesterday instead of real-time updates,Check if the widget is updated or contact support for further assistance
the custom domain setup for our portal fails at the SSL verification step. Using Cloudflare for DNS. Please help. – IT Admin,SSL verification failure during custom domain setup with Cloudflare,,,Individual,SSL verification fails during custom domain setup with Cloudflare,Verify Cloudflare SSL/TLS settings
We’re getting 'Unknown error' when trying to submit forms on iPads running iPadOS 17. Worked before. Fix? – Front Desk,Unknown error on iPadOS 17 form submission,iPadOS 17,iPadOS 17,Individual,Unknown error when submitting forms on iPadOS 17,Check for iPadOS updates and clear browser cache if using Safari
when I create a new user group,User group permissions not saving correctly leading to full access,,,Individual,Permissions not saving correctly leading to full access,Check and verify that the user group permissions are correctly assigned and saved in the system. If not
your widget causes layout shifts on our site when it loads. Can we delay or async-load it? – Frontend Dev,Layout shifts caused by widget loading,,,Developer,Layout shifts occur when widget is loaded,Implement async or defer the widget's loading to prevent layout shifts
our backups to Dropbox failed with a 'Token revoked' error. We didn’t change anything. How can we reconnect safely? – IT Ops,Dropbox Backup Token Revoked Error,,,Enterprise,Backup failed with 'Token revoked' error,Re-authenticate with Dropbox to resolve the token revoked error
we integrated your app with Slack but messages are delayed or missing. Webhook retries? – Product Team,Slack integration messages delayed or missing with webhook retries,,,Enterprise,Delayed or missing Slack messages with webhook retries,Verify webhook retry settings in Slack app configuration and ensure proper integration
I’m using Brave browser and the login page doesn’t load—it’s just blank. Any compatibility issues?,Login page not loading in Brave browser,Brave,,Individual,Login page fails to load with blank screen,Check for browser updates and disable any conflicting extensions
when exporting a CSV report,CSV export formatting issue with commas in text fields,,,Developer,Commas in text fields cause CSV export formatting issues,Wrap fields in quotes when exporting CSV to prevent comma issues
We tried sending a bulk invite to users but only some received the email. We’re using the admin console. Why?,Bulk invite not reaching all users in admin console,,,Enterprise,Bulk invite not reaching all users in admin console,Check email server settings and verify recipient list for bulk invites
I accidentally deleted an important workspace. Is there a way to restore it? It happened an hour ago. – Maria,Workspace deletion and restoration request,,,Individual,Accidental deletion of workspace and need to restore it,Check if a backup exists and restore it
